id,source,mode,symbol,side,direction,quantity,entry_price,exit_price,stop_loss,take_profit,exit_reason,pnl_usdt,fees_usdt,news_id,news_signal_id,opened_at,closed_at,setup_quality,news_quality,mtf_aligned,would_take_again,failure_category,notes
pre-research-0,backtest,backtest,BNBUSDT,BUY,long,,725.252445,620.94937,,,,-225.40934481089982,,mock-news-262,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-1,backtest,backtest,SOLUSDT,BUY,long,,227.49369,211.65412,,,,-106.50127367459987,,mock-news-226,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-2,backtest,backtest,SOLUSDT,BUY,long,,245.20254,228.77555500000003,,,,-105.84759063605982,,mock-news-222,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-3,backtest,backtest,ETHUSDT,BUY,long,,3828.33321,3605.9961000000003,,,,-90.8002692147718,,mock-news-278,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-4,backtest,backtest,ETHUSDT,BUY,long,,3788.6433749999997,3605.9961000000003,,,,-74.24205231599974,,mock-news-286,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-5,backtest,backtest,XRPUSDT,SELL,short,,2.42588645,2.53876875,,,,-72.66559933180791,,mock-news-301,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-6,backtest,backtest,BNBUSDT,BUY,long,,561.630675,535.0623350000001,,,,-71.5685955905998,,mock-news-2,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-7,backtest,backtest,BNBUSDT,BUY,long,,643.3215,614.0228350000001,,,,-71.5238465615998,,mock-news-218,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-8,backtest,backtest,BTCUSDT,BUY,long,,61748.859,58990.19015000001,,,,-67.3671472718397,,mock-news-4,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-9,backtest,backtest,ETHUSDT,BUY,long,,3676.37727,3522.1380500000005,,,,-66.14694159988777,,mock-news-250,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-10,backtest,backtest,SOLUSDT,BUY,long,,170.68529999999998,163.688115,,,,-63.82186257569977,,mock-news-122,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-11,backtest,backtest,XRPUSDT,SELL,short,,0.5127435,0.53236605,,,,-58.722948011364046,,mock-news-127,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-12,backtest,backtest,BTCUSDT,BUY,long,,97493.62245,94029.9615,,,,-53.10405575369985,,mock-news-324,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-13,backtest,backtest,ETHUSDT,BUY,long,,2630.644665,2546.0263500000005,,,,-49.41272054141958,,mock-news-0,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
pre-research-14,backtest,backtest,ETHUSDT,SELL,short,,3161.408505,3260.4294,,,,-49.37256025873205,,mock-news-173,,2024-10-01T00:00:00.000Z,2024-12-31T00:00:00.000Z,,,,,,
